Week,Misinformation: (Worldwide)
6/01/2019,9
13/01/2019,14
20/01/2019,17
27/01/2019,14
3/02/2019,15
10/02/2019,18
17/02/2019,19
24/02/2019,22
3/03/2019,18
10/03/2019,13
17/03/2019,13
24/03/2019,14
31/03/2019,15
7/04/2019,15
14/04/2019,13
21/04/2019,18
28/04/2019,16
5/05/2019,17
12/05/2019,15
19/05/2019,13
26/05/2019,14
2/06/2019,18
9/06/2019,14
16/06/2019,17
23/06/2019,14
30/06/2019,14
7/07/2019,25
14/07/2019,12
21/07/2019,16
28/07/2019,16
4/08/2019,16
11/08/2019,16
18/08/2019,25
25/08/2019,10
1/09/2019,13
8/09/2019,14
15/09/2019,20
22/09/2019,16
29/09/2019,18
6/10/2019,21
13/10/2019,20
20/10/2019,21
27/10/2019,17
3/11/2019,22
10/11/2019,15
17/11/2019,20
24/11/2019,17
1/12/2019,16
8/12/2019,16
15/12/2019,20
22/12/2019,16
29/12/2019,15
5/01/2020,18
12/01/2020,18
19/01/2020,20
26/01/2020,25
2/02/2020,23
9/02/2020,24
16/02/2020,21
23/02/2020,31
1/03/2020,28
8/03/2020,41
15/03/2020,47
22/03/2020,44
29/03/2020,43
5/04/2020,45
12/04/2020,47
19/04/2020,44
26/04/2020,38
3/05/2020,39
10/05/2020,38
17/05/2020,27
24/05/2020,31
31/05/2020,34
7/06/2020,30
14/06/2020,29
21/06/2020,28
28/06/2020,25
5/07/2020,21
12/07/2020,24
19/07/2020,25
26/07/2020,100
2/08/2020,27
9/08/2020,21
16/08/2020,30
23/08/2020,30
30/08/2020,34
6/09/2020,30
13/09/2020,41
20/09/2020,39
27/09/2020,47
4/10/2020,38
11/10/2020,45
18/10/2020,40
25/10/2020,45
1/11/2020,48
8/11/2020,36
15/11/2020,35
22/11/2020,30
29/11/2020,34
6/12/2020,35
13/12/2020,29
20/12/2020,22
27/12/2020,23
3/01/2021,39
10/01/2021,41
17/01/2021,39
24/01/2021,39
31/01/2021,38
7/02/2021,32
14/02/2021,30
21/02/2021,33
28/02/2021,34
7/03/2021,32
14/03/2021,31
21/03/2021,38
28/03/2021,29
4/04/2021,28
11/04/2021,27
18/04/2021,27
25/04/2021,33
2/05/2021,33
9/05/2021,34
16/05/2021,28
23/05/2021,30
30/05/2021,24
6/06/2021,33
