Week,Fake news: (Worldwide)
2019-01-06,24
2019-01-13,24
2019-01-20,32
2019-01-27,27
2019-02-03,22
2019-02-10,25
2019-02-17,29
2019-02-24,28
2019-03-03,24
2019-03-10,28
2019-03-17,28
2019-03-24,28
2019-03-31,30
2019-04-07,24
2019-04-14,21
2019-04-21,23
2019-04-28,22
2019-05-05,25
2019-05-12,24
2019-05-19,25
2019-05-26,22
2019-06-02,27
2019-06-09,22
2019-06-16,22
2019-06-23,19
2019-06-30,19
2019-07-07,21
2019-07-14,16
2019-07-21,16
2019-07-28,19
2019-08-04,19
2019-08-11,20
2019-08-18,23
2019-08-25,26
2019-09-01,23
2019-09-08,25
2019-09-15,23
2019-09-22,28
2019-09-29,26
2019-10-06,25
2019-10-13,27
2019-10-20,26
2019-10-27,25
2019-11-03,29
2019-11-10,29
2019-11-17,31
2019-11-24,24
2019-12-01,25
2019-12-08,25
2019-12-15,20
2019-12-22,14
2019-12-29,13
2020-01-05,24
2020-01-12,20
2020-01-19,23
2020-01-26,32
2020-02-02,32
2020-02-09,30
2020-02-16,30
2020-02-23,36
2020-03-01,39
2020-03-08,65
2020-03-15,100
2020-03-22,95
2020-03-29,81
2020-04-05,70
2020-04-12,58
2020-04-19,61
2020-04-26,55
2020-05-03,58
2020-05-10,49
2020-05-17,47
2020-05-24,55
2020-05-31,49
2020-06-07,41
2020-06-14,40
2020-06-21,35
2020-06-28,37
2020-07-05,30
2020-07-12,30
2020-07-19,25
2020-07-26,27
2020-08-02,26
2020-08-09,28
2020-08-16,26
2020-08-23,28
2020-08-30,28
2020-09-06,28
2020-09-13,31
2020-09-20,29
2020-09-27,32
2020-10-04,33
2020-10-11,29
2020-10-18,29
2020-10-25,33
2020-11-01,34
2020-11-08,35
2020-11-15,31
2020-11-22,27
2020-11-29,26
2020-12-06,26
2020-12-13,22
2020-12-20,18
2020-12-27,17
2021-01-03,25
2021-01-10,28
2021-01-17,28
2021-01-24,29
2021-01-31,23
2021-02-07,26
2021-02-14,22
2021-02-21,25
2021-02-28,23
2021-03-07,26
2021-03-14,28
2021-03-21,29
2021-03-28,23
2021-04-04,25
2021-04-11,27
2021-04-18,28
2021-04-25,29
2021-05-02,28
2021-05-09,27
2021-05-16,28
2021-05-23,31
2021-05-30,24
2021-06-06,24
